name,url,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,color,cleavage,mohs,streak,gravity,luster,habit,varieties
Adelite,https://en.wikipedia.org/wiki/Adelite,CaMg(AsO4)(OH),CaMg(AsO<sub>4</sub>)(OH),Ade,8.BH.35,Orthorhombic,Disphenoidal,"Colourless, white, grey, bluish grey, yellowish grey, yellow, pale green, pinkish brown, brown",None Observed,5,,3.73 to 3.79,"Vitreous, Greasy","Elongate crystals, massive",
Admontite,https://en.wikipedia.org/wiki/Admontite,MgB6O10·7H2O or MgB6O7(OH)6·4H2O,MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>Oor<br/>MgB<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub>·4H<sub>2</sub>O,Amt,6.FA.15,Monoclinic,Prismatic,colorless,Absent,2 - 3 ,White,,,,
Aegirine,https://en.wikipedia.org/wiki/Aegirine,NaFe3+[Si2O6],NaFe<sup>3+</sup>[Si<sub>6</sub>],Aeg,9.DA.25,Monoclinic,Prismatic,"Dark Green, Greenish Black","Good on {110}, (110) ^ (110) ≈87°; parting on {100}",6,Yellowish-grey,3.50 - 3.60,Vitreous to slightly resinous,"Prismatic crystals may be in sprays of acicular crystals, fibrous, in radial concretions",
Aenigmatite,https://en.wikipedia.org/wiki/Aenigmatite,Na2Fe2+5TiSi6O20,Na<sub>2</sub>Fe<sup>2+</sup><sub>5</sub>TiSi<sub>6</sub>O<sub>20</sub>,Aen,9.DH.40,Triclinic,Pinacoidal,Velvet-black,Good on {010} and {100},5.5,Reddish brown,3.81,Vitreous to greasy,"Poorly developed prismatic crystals, occurring as irregular clusters; pseudomonoclinic",
Aerinite,https://en.wikipedia.org/wiki/Aerinite,"Ca4(Al,Fe,Mg)10Si12O35(OH)12CO3·12H2O",Ca<sub>3</sub>·12H<sub>2</sub>O,Aer,9.DB.45,Trigonal,,Blue to blue-green,,3,bluish white,2.48,vitreous,fibrous,
Aerugite,https://en.wikipedia.org/wiki/Aerugite,Ni9(AsO4)2AsO6,Ni<sub>9</sub>(AsO<sub>4</sub>)<sub>2</sub>AsO<sub>6</sub>,Aru,8.BC.15,Trigonal,Hexagonal scalenohedral,"Grass green, blue-green",,4,"light green, greenish white",5.85 - 5.95,Adamantine,Massive to crystalline crusts,
Aeschynite-(Ce),https://en.wikipedia.org/wiki/Aeschynite-(Ce),"(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","(Ce,Ca,Fe,Th)(Ti,Nb)<sub>6</sub>",Aes-Ce,4.DF.05,Orthorhombic,Dipyramidal,"Brown, light brown, brownish black, yellow, black",None,5 - 6,Nearly black to brown,4.52,"Adamantine, resinous to waxy, sub-metallic; dull when altered","Acicular, massive",
Aeschynite-(Nd),https://en.wikipedia.org/wiki/Aeschynite-(Nd),,,,,,,,,,,,,,
Aeschynite-(Y),https://en.wikipedia.org/wiki/Aeschynite-(Y),"(Y,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","(Y,Ca,Fe,Th)(Ti,Nb)<sub>6</sub>",Aes-Y,4.DF.05,Orthorhombic,Dipyramidal,,,,,,,,
Afghanite,https://en.wikipedia.org/wiki/Afghanite,"(Na,K)22Ca10[Si24Al24O96](SO4)6Cl6","(Na,K)<sub>22</sub>Ca<sub>10</sub>[Si<sub>24</sub>Al<sub>24</sub>O<sub>96</sub>](SO<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>",Afg,9.FB.05,Trigonal,Ditrigonal pyramidal,"light blue, dark blue",Perfect {1010},5.5 - 6,white,2.55 - 2.65,Vitreous,"Lath shaped crystals, rounded grains",
Afwillite,https://en.wikipedia.org/wiki/Afwillite,Ca3(SiO3OH)2·2H2O,Ca<sub>3</sub>(SiO<sub>3</sub>OH)<sub>2</sub>·2H<sub>2</sub>O,Afw,9.AG.75,Monoclinic,Domatic,"Colorless, white","Perfect along [101], good along [100]",3–4,White,2630,Vitreous,"Prismatic (striated), tabular, radial fibrous, massive",
Agardite,https://en.wikipedia.org/wiki/Agardite,"(REE,Ca)Cu6(AsO4)3(OH)6·3H2O","(REE,Ca)Cu<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O","Arg-Y, Arg-Ce. Agr-Nd, Arg-La",8.DL.15,Hexagonal,Dipyramidal,Yellow green,None,3–4,Greenish white,"3.7 (measured), 3.775 (calculated)",Vitreous,Acicular,
Agrellite,https://en.wikipedia.org/wiki/Agrellite,NaCa2Si4O10F,NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F,Are,9.DH.75,Triclinic,Pinacoidal,"White, grayish-white, greenish-white",perfect [110],5.5,white,2.88,pearly,"Lath - shaped like a small, thin plaster lath, rectangular in shape",
Agrinierite,https://en.wikipedia.org/wiki/Agrinierite,,,,,,,,,,,,,,
Aguilarite,https://en.wikipedia.org/wiki/Aguilarite,Ag4SeS,Ag<sub>4</sub>SeS,Agu,2.BA.55,Monoclinic,Prismatic,Bright lead-gray on fresh surfaces; dull iron-black on exposure to air.,None observed,2.5 ,Gray-black,,Metallic,,
Aheylite,https://en.wikipedia.org/wiki/Aheylite,"(Fe2+,Zn)Al6(OH)8(PO4)4·4(H2O)","(Fe<sup>2+</sup>,Zn)Al<sub>6</sub>(OH)<sub>8</sub>(PO<sub>4</sub>)<sub>4</sub>·4(H<sub>2</sub>O)",Ahe,8.DD.15,Triclinic,Unknown space group,"Very pale blue, pale green, to blue-green","Perfect {001}, {010} good",5 to 5.5,White to greenish white,2.84,Porcelaneous to subvitreous,"Interlocked crystals in felted and matted aggregates forming botryoidal, spherulitic masses; radiating, prismatic groups",
Ahlfeldite,https://en.wikipedia.org/wiki/Ahlfeldite,"(Ni,Co)SeO3·2H2O","(Ni,Co)SeO<sub>3</sub>·2H<sub>2</sub>O",Afe,4.JH.10,Monoclinic,Prismatic,,,,,,,,
Aikinite,https://en.wikipedia.org/wiki/Aikinite,PbCuBiS3,PbCuBiS<sub>3</sub>,Aik,2.HB.05a,Orthorhombic,Dipyramidal,"Lead gray, grayish black, reddish brown",{010} indistinct,2-2.5,Grayish black,"6.1–6.8, Average = 6.44",Metallic,"Acicular, massive",
Ajoite,https://en.wikipedia.org/wiki/Ajoite,"(Na,K)Cu7AlSi9O24(OH)6·3H2O","(Na,K)Cu<sub>7</sub>AlSi<sub>9</sub>O<sub>24</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O",Aj,9.EA.70,Triclinic,Pinacoidal,Bluish green,Perfect on {010},3.5,Greenish white,2.96,Vitreous,Sprays of bladed prismatic crystals,
Akaganeite,https://en.wikipedia.org/wiki/Akagan%C3%A9ite,"Fe3+O(OH,Cl)","Fe<sup>3+</sup>O(OH,Cl)",Akg,4.DK.05,Monoclinic,Prismatic,"Yellowish brown, rusty brown",,,Brownish yellow,3.52,Earthy,,
Akatoreite,https://en.wikipedia.org/wiki/Akatoreite,,,,,,,,,,,,,,
Akdalaite,https://en.wikipedia.org/wiki/Akdalaite,,,,,,,,,,,,,,
Åkermanite,https://en.wikipedia.org/wiki/%C3%85kermanite,Ca2Mg(Si2O7),Ca<sub>2</sub>Mg(Si<sub>2</sub>O<sub>7</sub>),Åk,9.BB.10,Tetragonal,Scalenohedral,"Colorless, yellowish gray, green, brown","Distinct on {001}, poor on {110}",5 - 6,White,2944,"Vitreous, resinous",,
Akhtenskite,https://en.wikipedia.org/wiki/Akhtenskite,MnO2,MnO<sub>2</sub>,Akh,4.DB.15b,Hexagonal,Dihexagonal dipyramidal,Light gray to black,Distinct on {001},,Black,4.78 (calculated),,Flaky polycrystalline aggregates,
Akimotoite,https://en.wikipedia.org/wiki/Akimotoite,"(Mg,Fe)SiO3","(Mg,Fe)SiO<sub>3</sub>",Aki,4.CB.05,Trigonal,Rhombohedral,Colorless,perfect (0001),,white or colorless,3.81(calculated),vitreous,,
Akrochordite,https://en.wikipedia.org/wiki/Akrochordite,"(Mn,Mg)4(AsO4)2(OH)4·4H2O","(Mn,Mg)<sub>4</sub>·4H<sub>2</sub>O",Akr,8.DD.10,Monoclinic,Prismatic,"Yellowish red-brown, pale to dark brown, pale pink","Perfect. On {010} , perfect; a second, perpendicular to the first.",3.5,,,"Sub-Vitreous, resinous, dull",,
Aksaite,https://en.wikipedia.org/wiki/Aksaite,Mg[B6O7(OH)6]·2H2O,Mg[B<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub>]·2H<sub>2</sub>O,Aks,6.FA.05,Orthorhombic,Dipyramidal,"Colorless, white to pale grey",Distinct/Good; Probable on {100} and {010},2.5,White,,,,
Aktashite,https://en.wikipedia.org/wiki/Aktashite,Cu6Hg3As4S12,Cu<sub>6</sub>Hg<sub>3</sub>As<sub>4</sub>S<sub>12</sub>,Ats,2.GA.30,Trigonal,Pyramidal,,,,,,,,
Alabandite,https://en.wikipedia.org/wiki/Alabandite,MnS,MnS,Abd,2.CD.10,Cubic,Hexoctahedral,"black, steelgray, brownish-black",Perfect on {100},3.5 to 4,Green,4053,Sub-metallic,mostly massive or granular; cubic or octahedral crystals to 1 cm,
Alacránite,https://en.wikipedia.org/wiki/Alacr%C3%A1nite,As8S9,As<sub>8</sub>S<sub>9</sub>,Acr,2.FA.20,Monoclinic,Prismatic,"Orange to pale gray, rose-yellow internal reflections",Imperfect on {100},1.5,Yellow-orange,3.4 - 3.46,"Vitreous, resinous, greasy",Equant grains,
Alamosite,https://en.wikipedia.org/wiki/Alamosite,Pb12Si12O36,Pb<sub>12</sub>Si<sub>12</sub>O<sub>36</sub>,Aam,9.DO.20,Monoclinic,Prismatic,Colorless,{010} perfect,4.5,White,6.49,Adamantine,,
Alarsite,https://en.wikipedia.org/wiki/Alarsite,,,Ars,,Trigonal,,,,5-5.5,,3.32.,vitreous luster,,
Albite,https://en.wikipedia.org/wiki/Albite,NaAlSi3O8 or Na1.0–0.9Ca0.0–0.1Al1.0–1.1Si3.0–2.9O8,NaAlSi<span>8</sub></span>,Ab,9.FA.35,Triclinic,Pinacoidal,"White to gray, blueish, greenish, reddish; may be chatoyant","Perfect on {001}, very good on {010}, imperfect on {110}",6–6.5,White,2.60–2.65,"Vitreous, typically pearly on cleavages","Crystals commonly tabular, divergent aggregates, granular, cleavable massive",
Albrechtschraufite,https://en.wikipedia.org/wiki/Albrechtschraufite,,,,,,,,,,,,,,
Aldermanite,https://en.wikipedia.org/wiki/Aldermanite,"[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH,F)6 · H2O","[Mg(H<sub>2</sub>O)<sub>6</sub>][Na(H<sub>2</sub>O)<sub>2</sub>Al<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH,F)<sub>6</sub>·H<sub>2</sub>O",Adm,,Monoclinic,Prismatic,Colorless,,2,,,"Sub-vitreous, pearly",,
Aleksite,https://en.wikipedia.org/wiki/Aleksite,PbBi2Te2S2,PbBi2Te2S2,,,Trigonal,,,,2.5,pale green,7.80,metallic,,
Alforsite,https://en.wikipedia.org/wiki/Alforsite,Ba5(PO4)3Cl,Ba<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>Cl,Afr,8.BN.05,Hexagonal,Dipyramidal,Colorless,,5,White,4.73 - 4.80,Vitreous,"Subhedral, fine grained masses",
Algodonite,https://en.wikipedia.org/wiki/Algodonite,Cu6As,Cu<sub>6</sub>As,Ago,2.AA.10a,Hexagonal,Dihexagonal dipyramidal,"Gray, silver white, steel gray, tarnishes dull bronze",,4,,"8.38 (measured), 8.72 (calculated)",Metallic,"Massive, granular. Common texture observed in granite and other igneous rock",
Aliettite,https://en.wikipedia.org/wiki/Aliettite,,,Ali,9.EC.60,Hexagonal,Unknown space group,"Colorless, pale yellow or green.",,1–2,White,,Earthy (dull),Platy,
Allabogdanite,https://en.wikipedia.org/wiki/Allabogdanite,"(Fe,Ni)2P","(Fe,Ni)<sub>2</sub>P",Abg,1.BD.15,Orthorhombic,Dipyramidal,Light straw-yellow,,5-6,,7.11,Metallic,Minute exolution laminae in plessite,
Allactite,https://en.wikipedia.org/wiki/Allactite,Mn7(AsO4)2(OH)8,Mn<sub>7</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>8</sub>,Ala,8.BE.30,Monoclinic,Prismatic,"Brown, dark to light purplish red, brownish red, colorless to white","Distinct, {001}",4.5,Gray to faint brown,"3.83 (meas.), 3.94 (calc.)","Vitreous, slightly greasy on fracture surfaces","Elongated prisms, bladed, tabular, rosette-like aggregates",
Allanite,https://en.wikipedia.org/wiki/Allanite,"(Ce,Ca,Y,La)2(Al,Fe+3)3(SiO4)3(OH)","(Ce,Ca,Y,La)<sub>2</sub>(Al,Fe<sup>+3</sup>)<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>(OH)",Aln,9.BG.05b,Monoclinic,Prismatic,Brown to black,Imperfect to poor,5.5–6,Grey,3.5–4.2,"Vitreous, resinous to submetallic","Crystals tabular, prismatic to acicular; granular, massive; commonly metamict",
Allanpringite,https://en.wikipedia.org/wiki/Allanpringite,Fe3+3(PO4)2(OH)3·5H2O,Fe<sup>3+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>·5H<sub>2</sub>O,Apg,8.DC.50,Monoclinic,Prismatic,Pale brownish yellow,"{hk0} perfect, {010} good",3,Pale yellowish white,"2.54 (meas.), 2.583 (calc.)",Vitreous,Acicular,
Allargentum,https://en.wikipedia.org/wiki/Allargentum,Ag1−xSbx,Ag<sub>1−x</sub>Sb<sub>x</sub>,All,2.AA.30,Hexagonal,Dihexagonal dipyramidal,Silver gray,,4,,"10.0 (meas.), 10.12 (calc.)",Metallic,,
Alleghanyite,https://en.wikipedia.org/wiki/Alleghanyite,Mn5(SiO4)2(OH)2,Mn<sub>5</sub>(SiO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>,Alh,9.AF.45,Monoclinic,Prismatic,"Brown, bright pink, grayish pink, white",None,5–6,,"4 (meas.), 4.11 (calc.)",Vitreous,Granular; anhedral to subhedral crystals in matrix,
Alloclasite,https://en.wikipedia.org/wiki/Alloclasite,,,,,,,,,,,,,,
Alluaivite,https://en.wikipedia.org/wiki/Alluaivite,"Na19(Ca,Mn)6(Ti,Nb)3Si26O74Cl·2H2O",Na<sub>74</sub>Cl·2H<sub>2</sub>O,Aav,9.CO.10,Trigonal,Hexagonal scalenohedral,Colorless to weak brownish pink,None,5-6,White,,Vitreous,irregular accumulations,
Alluaudite,https://en.wikipedia.org/wiki/Alluaudite,"(Na,Ca)Mn2+(Fe3+,Mn2+,Fe2+,Mg)2(PO4)3","(Na,Ca)Mn<sup>3</sub>",Ald,8.AC.10,Monoclinic,Prismatic,"Dirty yellow to brownish yellow, grayish green; superficially dull greenish black, brownish black, black, when altered","Distinct/ good on {100} and {010}, good on {110}",5 - 5.5,Brownish yellow,3.4 - 3.5,,"Platy to radiating fibrous, nodular, granular, massive",
Almandine,https://en.wikipedia.org/wiki/Almandine,Fe2+3Al2Si3O12,Fe<sup>2+</sup><sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,Alm,9.AD.25,Cubic,Hexoctahedral,"reddish orange to red, slightly purplish red to reddish purple and usually dark in tone",none,7 - 7.5,white,"4.05 (+.25, -.12)",greasy to vitreous,,
Almarudite,https://en.wikipedia.org/wiki/Almarudite,,,,,,,,,,,,,,
Alsakharovite-Zn,https://en.wikipedia.org/wiki/Alsakharovite-Zn,,,,,,,,,,,,,,
Alstonite,https://en.wikipedia.org/wiki/Alstonite,BaCa(CO3)2,BaCa(CO<sub>3</sub>)<sub>2</sub>,Asn,5.AB.35,Triclinic,Unknown space group,,Imperfect on pseudo-orthorhombic {110},4 to 4.5,White,3.70,,"Steep pseudohexagonal dipyramids, pseudo-orthorhombic",
Altaite,https://en.wikipedia.org/wiki/Altaite,PbTe,PbTe,Alt,2.CD.10,Isometric,Hexoctahedral,tin white to yellowish white; tarnishing to bronze yellow,perfect in three directions forming cubes,2.5 - 3,Black,8.2 - 8.3,metallic,include cubic and octahedral crystals; but much more commonly found in massive and granular forms,
Althausite,https://en.wikipedia.org/wiki/Althausite,"Mg2(PO4)(OH,F)","Mg<sub>2</sub>(PO<sub>4</sub>)(OH,F)",Ahs,8.BB.25,Orthorhombic,Dipyramidal,,,,,,,,
Althupite,https://en.wikipedia.org/wiki/Althupite,,,,,,,,,,,,,,
Altisite,https://en.wikipedia.org/wiki/Altisite,,,,,,,,,,,,,,
Alum-(K),https://en.wikipedia.org/wiki/Alum-(K),KAl(SO4)2·12(H2O),KAl(SO<sub>4</sub>)<sub>2</sub>·12(H<sub>2</sub>O),Aum-K,7.CC.20,Cubic,Diploidal,"Colorless, white",On {111} indistinct,2-2.5,,1757,Vitreous,"Stalactitic, columnar, granular, massive efflorescences; rare as small octahedral crystals",
Aluminite,https://en.wikipedia.org/wiki/Aluminite,Al2SO4(OH)4·7H2O,Al<sub>2</sub>SO<sub>4</sub>(OH)<sub>4</sub>·7H<sub>2</sub>O,A,7.DC.05,Monoclinic,Prismatic,White to grayish white,None,1 - 2,White,1.66–1.82,Dull to earthy,Needles and fibrous masses,
Aluminium,https://en.wikipedia.org/wiki/Aluminium,,,,,,,,,2.75 ,,,,,
Alunite,https://en.wikipedia.org/wiki/Alunite,KAl3(SO4)2(OH)6,KAl<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,Alu,7.BC.10,Trigonal,Hexagonal scalenohedral ,"Yellow, red, to reddish brown, colorless if pure; may be white, pale shades of gray","On {0001}, perfect",3.5 – 4,White,2.6 – 2.9,"Vitreous, somewhat pearly on {0001} for crystals, earthy if massive","fibrous to columnar, porcelaneous, commonly granular to dense massive",
Alunogen,https://en.wikipedia.org/wiki/Alunogen,Al2(SO4)3·17H2O,Al<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>·17H<sub>2</sub>O,Alg,7.CB.45,Triclinic,Pinacoidal,,"Perfect on {010}, probable on {100} and {313}",1.5 -2,,1.72 - 1.77,,"Platy to prismatic crystals rare, fibrous masses, crusts, and efflorescences",
Amakinite,https://en.wikipedia.org/wiki/Amakinite,,,,,,,,,,,,,,
Amarantite,https://en.wikipedia.org/wiki/Amarantite,Fe3+2O(SO4)2·7H2O,Fe<sup>3+</sup><sub>2</sub>O(SO<sub>4</sub>)<sub>2</sub>·7H<sub>2</sub>O,Ama,7.DB.30,Triclinic,Pinacoidal,"Amaranth-red to brownish red, orange-red",Perfect on {010} and {100},2.5,Lemon-yellow,2.189 - 2.286,Vitreous,As radiating or matted aggregates of needles; may be columnar or bladed,
Amblygonite,https://en.wikipedia.org/wiki/Amblygonite,"(Li,Na)AlPO4(F,OH)","(Li,Na)AlPO<sub>4</sub>(F,OH)",Aby,8.BB.05,Triclinic,Pinacoidal,"Generally white or creamy, but can also be colorless or pale yellow, green, blue, beige, gray, brown or pink.","[100] Perfect, [110] Good, [011] Distinct",5.5 - 6,,2.98 - 3.11,Vitreous to pearly,Prismatic to columnar form,
Ameghinite,https://en.wikipedia.org/wiki/Ameghinite,NaB3O3(OH)4,NaB<sub>3</sub>O<sub>3</sub>(OH)<sub>4</sub>,Agh,6.CA.10,Monoclinic,Prismatic,,,,,,,,
Amesite,https://en.wikipedia.org/wiki/Amesite,Mg2Al2SiO5(OH)4,Mg<sub>2</sub>Al<sub>2</sub>SiO<sub>5</sub>(OH)<sub>4</sub>,Ame,9.ED.15,Triclinic,Pedial,"White, colorless, pink to lilac, pale green",Perfect on {001},2.5-3,White with pale green tint,2.77,Pearly,Crystals form as platy to tapering elongated pseudohexagonal prisms,
Amicite,https://en.wikipedia.org/wiki/Amicite,K2Na2Al4Si4O16·5(H2O),K<sub>2</sub>Na<sub>2</sub>Al<sub>4</sub>Si<sub>4</sub>O<sub>16</sub>·5(H<sub>2</sub>O),Ami,9.GC.05,Monoclinic,Sphenoidal,Colorless,none,,White,2.18,Vitreous,,
Amphibole,https://en.wikipedia.org/wiki/Amphibole,,,,,,,,,,,,,,
Analcime,https://en.wikipedia.org/wiki/Analcime,NaAlSi2O6·H2O,NaAlSi<sub>2</sub>O<sub>6</sub>·H<sub>2</sub>O,Anl,9.GB.05,Orthorhombic,Dipyramidal,"White, colorless, gray, pink, greenish, yellowish","Indistinct on {001}, {010}, {100}",5 - 5.5,White,2.24 - 2.29,Vitreous,"Typically in crystals, usually trapezohedrons, also massive to granular.",
Anandite,https://en.wikipedia.org/wiki/Anandite,"(Ba,K)(Fe2+,Mg)3(Si,Al,Fe)4O10(S,OH)2","(Ba,K)(Fe<sup>2</sub>",Ana,9.EC.35,Monoclinic,Prismatic,Black,Perfect on {001},3 – 4,Grey white,3.94,Vitreous,"Massive, prismatic crystals poorly formed produce hexagonal outline cleavage fragments",
Anapaite,https://en.wikipedia.org/wiki/Anapaite,Ca2Fe2+(PO4)2·4H2O,Ca<sub>2</sub>Fe<sup>2+</sup>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Anp,8.CH.10,Triclinic,Pinacoidal,"Green, greenish white to colorless","Perfect on {001}, distinct on {010}",3.5,White,2.8,Vitreous,"Tabular to bladed crystals, radiating clusters, incrustations, fibrous, and in nodules",
Anatase,https://en.wikipedia.org/wiki/Anatase,TiO2,TiO<sub>2</sub>,Ant,4.DD.05,Tetragonal,Ditetragonal dipyramidal,"Black, reddish to yellowish brown, dark blue, gray",Perfect on [001] and [011],5.5–6,pale yellowish white,3.79–3.97,"Adamantine to splendent, metallic","Pyramidal (crystals are shaped like pyramids), tabular (form dimensions are thin in one direction).",
Ancylite,https://en.wikipedia.org/wiki/Ancylite,"Sr(Ce,La)(CO3)2(OH)·H2O","Sr(Ce,La)(CO<sub>2</sub>(OH)·H<sub>2</sub>O",Anc,5.DC.05,Orthorhombic,Dipyramidal,"Light yellow, orange-yellow, yellow-brown, grey",None,4–4.5,White,,Dull,,
Andalusite,https://en.wikipedia.org/wiki/Andalusite,Al2SiO5,Al<sub>2</sub>SiO<sub>5</sub>,And,9.AF.10,Orthorhombic,Dipyramidal,"Pink, violet, yellow, green, white, gray; in thin section, colorless to pink or green","Good on {110}, poor on {100}",6.5 - 7.5,White,3.17 (+/- .04),Vitreous,As euhedral crystals or columnar aggregates having nearly square cross sections; fibrous compact to massive,
Andersonite,https://en.wikipedia.org/wiki/Andersonite,Na2Ca(UO2)(CO3)3·6H2O,Na<sub>2</sub>Ca(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>·6H<sub>2</sub>O,Anr,5.ED.30,Trigonal,Hexagonal scalenohedral,Bright green to yellow-green,,2.5,,2.8,Vitreous,"Rhombohedra, often flattened, pseudocubic; crystalline crusts, granular",
Andesine,https://en.wikipedia.org/wiki/Andesine,"(Ca,Na)(Al,Si)4O8, where Ca/(Ca + Na) is between 30–50%","(Ca,Na)(Al,Si)<sub>4</sub>O<sub>8</sub>,whereCa/(Ca+Na)isbetween30–50%",,,Triclinic,Pinacoidal,"White, gray, green, yellow, flesh-red","Perfect on {001}, good on {010}",6 – 6.5,White,2.66 – 2.68,Subvitreous to pearly,"Crystals rare, to 2 cm; commonly massive or granular",
